ort;location;lat;lon
Hannover;Hannover, Region Hannover, Niedersachsen, Deutschland;52.3744779;9.7385532
Leipzig;Leipzig, Sachsen, Deutschland;51.3406321;12.3747329
München;München, Bayern, Deutschland;48.1371079;11.5753822
Bern;Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra;46.9482713;7.4514512
Stockholm [u.a.];a, Östra Kallfors, Södertälje kommun, Stockholms län, Sverige;59.1203224;17.536242714289948
Neuwied;Neuwied, Landkreis Neuwied, Rheinland-Pfalz, Deutschland;50.4302589;7.4663112
København;København, Københavns Kommune, Region Hovedstaden, 1357, Danmark;55.6867243;12.5700724
Berlin;Berlin, 10117, Deutschland;52.5170365;13.3888599
Memmingen;Memmingen, Bayern, 87700, Deutschland;47.9867696;10.181319
Wiesbaden;Wiesbaden, Hessen, Deutschland;50.0820384;8.2416556
Zürich;Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra;47.3744489;8.5410422
London;London, Greater London, England, United Kingdom;51.5073219;-0.1276474
Oxford;Oxford, Chester County, Pennsylvania, 19363, United States;39.7852062;-75.9790215
Lanham, Md.;Lanham, Glenn Dale, Prince George's County, Maryland, 20706, United States;38.965365000000006;-76.84179265424164
Bielefeld;Bielefeld, Nordrhein-Westfalen, Deutschland;52.0191005;8.531007
Weinheim;Weinheim, Rhein-Neckar-Kreis, Baden-Württemberg, 69469, Deutschland;49.5462349;8.6717458
Basel;Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra;47.5581077;7.5878261
Frankfurt, M.;M, Ellis Road, Flughafen, Süd, Frankfurt am Main, Hessen, 60549, Deutschland;50.0444151;8.5960226
Paris;Paris, Île-de-France, France métropolitaine, France;48.8566969;2.3514616
Düsseldorf [u.a.];Düsseldorf, Nordrhein-Westfalen, Deutschland;51.2254018;6.7763137
Dresden;Dresden, Sachsen, Deutschland;51.0493286;13.7381437
