druckort,dbsm_count,location,lat,lon
Aarhus,,"Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark",56.1496278,10.2134046
Abbeville,,"Abbeville, Somme, Hauts-de-France, France métropolitaine, 80100, France",50.1060835,1.8337029
Albi,,"Albi, Tarn, Occitanie, France métropolitaine, 81000, France",43.9277552,2.147899
Alcalá,,"Alcalá de Henares, Espana",40.48185961576052, -3.362213182318283
Alost,1.0,"Aalst, Oost-Vlaanderen, Vlaanderen, België / Belgique / Belgien",50.9383226,4.0392147
Amsterdam,,"Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041
Angers,,"Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, France",47.4739884,-0.5515588
Angoulême,,"Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16000, France",45.6512748,0.1576745
Antwerpen,2.0,"Antwerpen, Vlaanderen, België / Belgique / Belgien",51.2211097,4.3997081
Aquila,1.0,"Aquila, Italia",42.350444589007644, 13.4015587788471
Arles,,"Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.6776223,4.6309653
Ascoli,,"Ascoli",42.853448717807346, 13.575541666697013
Audenarde,1.0,"Oudenaarde, Oost-Vlaanderen, Vlaanderen, 9700, België / Belgique / Belgien",50.8433705,3.6041443
Augsburg,112.0,"Augsburg, Bayern, Deutschland",48.3668041,10.8986971
Avignon,1.0,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.9492493,4.8059012
Bamberg,5.0,"Bamberg, Bayern, Deutschland",49.8916044,10.8868478
Barcelona,,"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.3828939,2.1774322
Barco,,"Barco, Orzinuovi, Unione dei Comuni Bassa Bresciana Occidentale, Brescia, Lombardia, 25034, Italia",45.3791667,9.8995332
Basel,82.0,"Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra",47.5581077,7.5878261
Bayern,,"Bayern, Deutschland",48.9467562,11.4038717
Bergamo,,"Bergamo, Lombardia, Italia",45.756655699999996,9.754219200862249
Beromünster,,"Beromünster, Luzern, Schweiz/Suisse/Svizzera/Svizra",47.2076373,8.1924386
Besançon,,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France",47.2380222,6.0243622
Blaubeuren,4.0,"Blaubeuren, Gemeindeverwaltungsverband Blaubeuren, Alb-Donau-Kreis, Baden-Württemberg, 89143, Deutschland",48.4121233,9.7847091
Bologna,11.0,"Bologna, Emilia-Romagna, Italia",44.4937577,11.3430308
