id;ort;count;location;lat;lon
0;Berlin;4620;Berlin, 10117, Deutschland;52.5170365;13.3888599
1;Leipzig;2634;Leipzig, Sachsen, Deutschland;51.3406321;12.3747329
2;Wien;1274;Wien, Österreich;48.2083537;16.3725042
3;Hamburg;744;Hamburg, Deutschland;53.550341;10.000654
4;Stuttgart;657;Stuttgart, Baden-Württemberg, Deutschland;48.7784485;9.1800132
5;München;490;München, Bayern, Deutschland;48.1371079;11.5753822
6;Dresden;372;Dresden, Sachsen, Deutschland;51.0493286;13.7381437
7;Breslau;298;Wrocław, powiat wrocławski, województwo dolnośląskie, Polska;51.1263106;16.97819633051261
8;Frankfurt am Main;258;Frankfurt am Main, Hessen, Deutschland;50.1106444;8.6820917
9;Prag;208;Hlavní město Praha, Praha, Česko;50.0874654;14.4212535
10;Bremen;200;Bremen, Deutschland;53.0758196;8.8071646
11;Zürich;192;Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra;47.3744489;8.5410422
12;Köln;183;Köln, Nordrhein-Westfalen, Deutschland;50.938361;6.959974
13;Paris;174;Paris, Île-de-France, France métropolitaine, France;48.8566969;2.3514616
14;Halle (Saale);171;Halle (Saale), Sachsen-Anhalt, Deutschland;51.4825041;11.9705452
15;Nürnberg;164;Nürnberg, Bayern, Deutschland;49.453872;11.077298
16;Hannover;147;Hannover, Region Hannover, Niedersachsen, Deutschland;52.3744779;9.7385532
17;Düsseldorf;142;Düsseldorf, Nordrhein-Westfalen, Deutschland;51.2254018;6.7763137
18;Braunschweig;126;Braunschweig, Niedersachsen, Deutschland;52.2646577;10.5236066
19;Brüssel;126;Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien;50.8465573;4.351697
20;Karlsruhe;123;Karlsruhe, Baden-Württemberg, Deutschland;49.0068705;8.4034195
21;Basel;120;Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra;47.5581077;7.5878261
22;Augsburg;110;Augsburg, Bayern, Deutschland;48.3668041;10.8986971
23;Wiesbaden;108;Wiesbaden, Hessen, Deutschland;50.0820384;8.2416556
24;Magdeburg;103;Magdeburg, Sachsen-Anhalt, Deutschland;52.1315889;11.6399609
25;Bern;102;Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra;46.9482713;7.4514512
26;Gotha;92;Gotha, Landkreis Gotha, Thüringen, Deutschland;50.9494849;10.7014435
27;Königsberg;90;Калининград, городской округ Калининград, Калининградская область, Северо-Западный федеральный округ, Россия;54.710128;20.5105838
28;Straßburg;90;Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France;48.584614;7.7507127
29;Darmstadt;89;Darmstadt, Hessen, Deutschland;49.872775;8.651177
30;Bonn;86;Bonn, Nordrhein-Westfalen, Deutschland;50.735851;7.10066
31;Budapest;86;Budapest, Közép-Magyarország, Magyarország;47.4983815;19.0404707
32;Freiburg im Breisgau;85;Freiburg im Breisgau, Baden-Württemberg, Deutschland;47.9960901;7.8494005
33;Mainz;83;Mainz, Rheinland-Pfalz, Deutschland;50.0012314;8.2762513
34;Würzburg;83;Würzburg, Bayern, Deutschland;49.79245;9.932966
35;London;80;London, Greater London, England, United Kingdom;51.5073219;-0.1276474
36;Riga;79;Rīga, Vidzeme, Latvija;56.9493977;24.1051846
37;Sankt Petersburg;79;Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия;59.938732;30.316229
38;Kassel;74;Kassel, Niestetal, Hessen, Deutschland;51.3154546;9.4924096
39;Pest;73;Le Pest, A Borde Grande, Sainte-Anne, Condom, Gers, Occitanie, France métropolitaine, 32430, France;43.7445765;0.979047
40;Graz;73;Graz, Steiermark, Österreich;47.0708678;15.4382786
41;Kopenhagen;73;København, Københavns Kommune, Region Hovedstaden, 1357, Danmark;55.6867243;12.5700724
42;Erfurt;72;Erfurt, Thüringen, Deutschland;50.9777974;11.0287364
43;Heidelberg;71;Heidelberg, Baden-Württemberg, Deutschland;49.4093582;8.694724
44;Chemnitz;70;Chemnitz, Sachsen, Deutschland;50.8322608;12.9252977
45;Stettin;69;Szczecin, województwo zachodniopomorskie, Polska;53.4301818;14.5509623
46;Elberfeld;67;Elberfeld, Gemarkung Elberfeld, Wuppertal, Nordrhein-Westfalen, 42103, Deutschland;51.2573333;7.1458183
47;Warschau;65;Warszawa, województwo mazowieckie, Polska;52.2319581;21.0067249
48;Amsterdam;64;Amsterdam, Noord-Holland, Nederland;52.3727598;4.8936041
49;Gera;61;Gera, Thüringen, Deutschland;50.8772301;12.0796208
50;Mannheim;59;Mannheim, Baden-Württemberg, Deutschland;49.4892913;8.4673098
51;Jena;59;Jena, Thüringen, Deutschland;50.9281717;11.5879359
52;Görlitz;58;Görlitz, Sachsen, Deutschland;51.1563185;14.991018
53;Regensburg;56;Regensburg, Bayern, Deutschland;49.0195333;12.0974869
54;Altona;56;Altona, Hamburg, Deutschland;53.58646755;9.777669726868917
55;Münster (Westf);55;Münster (Westf) Hauptbahnhof, Hamburger Straße, Bahnhof, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48143, Deutschland;51.9564055;7.635792
56;Weimar;54;Weimar, Thüringen, Deutschland;50.9810486;11.3296637
57;Aachen;53;Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland;50.776351;6.083862
58;New York, NY;52;New York, United States;40.7127281;-74.0060152
59;Barmen;51;Barmen, Gemarkung Barmen, Wuppertal, Nordrhein-Westfalen, 42275, Deutschland;51.2716035;7.2003449
60;Lübeck;51;Lübeck, Markt, Innenstadt, Lübeck, Schleswig-Holstein, 23552, Deutschland;53.866444;10.684738
61;Kiel;51;Kiel, Schleswig-Holstein, Deutschland;54.3227085;10.135555
62;Danzig;50;Gdańsk, powiat gdański, województwo pomorskie, Polska;54.36143405;18.62821847557274
63;Posen;49;Poznań, powiat poznański, województwo wielkopolskie, Polska;52.4006632;16.91973259178088
64;Göttingen;48;Göttingen, Landkreis Göttingen, Niedersachsen, Deutschland;51.5328328;9.9351811
65;Potsdam;46;Potsdam, Brandenburg, Deutschland;52.4009309;13.0591397
66;Zwickau;46;Zwickau, Langenweißbach, Zwickau, Sachsen, 08134, Deutschland;50.7185043;12.4939267
67;Heilbronn;45;Heilbronn, Baden-Württemberg, Deutschland;49.142291;9.218655
68;Meißen;44;Meißen, Sachsen, Deutschland;51.1630871;13.4704939
69;Triest;44;Trieste, UTI Giuliana / Julijska MTU, Friuli Venezia Giulia, Italia;45.6504806;13.7931263
70;Altenburg;43;Altenburg, Altenburger Land, Thüringen, 04600, Deutschland;50.9852411;12.4340988
71;Bamberg;43;Bamberg, Bayern, Deutschland;49.8916044;10.8868478
72;Frankfurt (Oder);43;Frankfurt (Oder), Brandenburg, Deutschland;52.3412273;14.549452
73;Reutlingen;42;Reutlingen, Landkreis Reutlingen, Baden-Württemberg, Deutschland;48.4919508;9.2114144
74;Gießen;42;Gießen, Landkreis Gießen, Hessen, Deutschland;50.5862066;8.6742306
75;Brünn;41;Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, Česko;49.1922443;16.6113382
76;Stockholm;41;Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige;59.3251172;18.0710935
77;Sankt Gallen;41;St. Gallen, Wahlkreis St. Gallen, Sankt Gallen, Schweiz/Suisse/Svizzera/Svizra;47.4250593;9.3765878
78;Ulm;41;Ulm, Baden-Württemberg, Deutschland;48.3974003;9.9934336
79;Tübingen;38;Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland;48.5236164;9.0535531
80;Bukarest;38;Municipiul București, România;44.4361414;26.1027202
81;Dortmund;38;Dortmund, Nordrhein-Westfalen, Deutschland;51.5142273;7.4652789
82;Lemberg;38;Львів, Львівська міська громада, Львівський район, Львівська область, Україна;49.841952;24.0315921
83;Trier;36;Trier, Rheinland-Pfalz, Deutschland;49.7596208;6.6441878
84;Koblenz;36;Koblenz, Rheinland-Pfalz, Deutschland;50.3533278;7.5943951
85;Essen;34;Essen, Nordrhein-Westfalen, Deutschland;51.4582235;7.0158171
86;Salzburg;34;Salzburg, 5020, Österreich;47.7981346;13.0464806
87;Tartu;34;Tartu linn, Tartu maakond, Eesti;58.3801207;26.72245
88;Zittau;34;Zittau, Görlitz, Sachsen, Deutschland;50.8959142;14.8064417
89;Paderborn;34;Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland;51.71895955;8.764869778177559
90;Krefeld;33;Krefeld, Nordrhein-Westfalen, Deutschland;51.3331205;6.5623343
91;Dessau;33;Dessau, Sachsen-Anhalt, 06844, Deutschland;51.8346801;12.2468705
92;Hildesheim;33;Hildesheim, Landkreis Hildesheim, Niedersachsen, Deutschland;52.1521636;9.9513046
93;Genf;32;Genève, Grand Genève, Genève, Schweiz/Suisse/Svizzera/Svizra;46.2017559;6.1466014
94;Rostock;32;Rostock, Mecklenburg-Vorpommern, Deutschland;54.0924445;12.1286127
95;Freiberg;31;Freiburg im Breisgau, Baden-Württemberg, Deutschland;47.9960901;7.8494005
96;Schwerin;30;Schwerin, Mecklenburg-Vorpommern, Deutschland;53.6288297;11.4148038
97;Linz;30;Linz, Oberösterreich, Österreich;48.3059078;14.286198
98;Halberstadt;30;Halberstadt, Landkreis Harz, Sachsen-Anhalt, Deutschland;51.8953514;11.0520563
99;Erlangen;29;Erlangen, Bayern, Deutschland;49.5981187;11.003645
100;Luzern;29;Luzern, Schweiz/Suisse/Svizzera/Svizra;47.0505452;8.3054682
101;Kristiania;29;Oslo, Norge;59.9133301;10.7389701
102;Winterthur;29;Winterthur, Bezirk Winterthur, Zürich, Schweiz/Suisse/Svizzera/Svizra;47.4991723;8.7291498
103;Wesel;28;Wesel, Kreis Wesel, Nordrhein-Westfalen, Deutschland;51.6576909;6.617087
104;Zagreb;28;Zagreb, Grad Zagreb, 10000, Hrvatska;45.8131847;15.9771774
105;Dresden-Altstadt;28;Dresden-Altstadt, A 4, Mobschatz, Dresden, Sachsen, 01156, Deutschland;51.0715337;13.6523555
106;Bromberg;28;Bydgoszcz, powiat bydgoski, województwo kujawsko-pomorskie, Polska;53.12974625;18.029369658534854
107;Liegnitz;28;Legnica, gmina Kunice, powiat legnicki, województwo dolnośląskie, Polska;51.204768900000005;16.174675034638256
108;Nordhausen;28;Nordhausen, Landkreis Nordhausen, Thüringen, 99734, Deutschland;51.5051574;10.7925317
109;Elbing;28;Elbląg, powiat elbląski, województwo warmińsko-mazurskie, 82-300, Polska;54.1988997;19.44108568736702
110;Schleswig;28;Schleswig, Schleswig-Flensburg, Schleswig-Holstein, 24837, Deutschland;54.51851;9.5653284
111;Metz;27;Metz, Moselle, Grand Est, France métropolitaine, France;49.1196964;6.1763552
