"idn";"year";"ort_idn";"ort_name";"location";"lat";"lon"
1107292824;1737;40347508;"Lausanne";"Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra";"46.5218269";"6.6327025"
1107326451;1738;40352064;"Leipzig";"Leipzig, Sachsen, Deutschland";"51.3406321";"12.3747329"
"110725132X";1740;40129950;"Dresden";"Dresden, Sachsen, Deutschland";"51.0493286";"13.7381437"
1107326184;1741;40352064;"Leipzig";"Leipzig, Sachsen, Deutschland";"51.3406321";"12.3747329"
1107409918;1750;40660095;"Wien";"Wien, Österreich";"48.2083537";"16.372504199999998"
1107343003;1752;40057283;"Berlin";"Berlin, 10117, Deutschland";"52.5170365";"13.388859900000002"
1107297001;1754;40367703;"Lyon";"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France";"45.75781370000001";"4.8320114"
"110729701X";1754;40367703;"Lyon";"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France";"45.75781370000001";"4.8320114"
1107372577;1754;40353060;"Lemgo";"Lemgo, Kreis Lippe, Nordrhein-Westfalen, 32657, Deutschland";"52.0280674";"8.9012894"
1107263352;1758;40036146;"Augsburg";"Augsburg, Bayern, Deutschland";"48.3668041";"10.8986971"
1107309212;1760;40347508;"Lausanne";"Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra";"46.5218269";"6.6327025"
1107291046;1760;"04004968X";"Bautzen";"Bautzen - Budyšin, Bautzen, Sachsen, 02625, Deutschland";"51.1813907";"14.4275735"
1107371759;1761;40314839;"Köln";"Köln, Nordrhein-Westfalen, Deutschland";"50.938361";"6.959974000000001"
"110726913X";1762;40181189;"Frankfurt am Main";"Frankfurt am Main, Hessen, Deutschland";"50.1106444";"8.682091699999999"
1107373107;1763;40582825;"Stuttgart";"Stuttgart, Baden-Württemberg, Deutschland";"48.7784485";"9.1800132"
"110743047X";1763;40660095;"Wien";"Wien, Österreich";"48.2083537";"16.372504199999998"
1107339111;1763;40352064;"Leipzig";"Leipzig, Sachsen, Deutschland";"51.3406321";"12.3747329"
1107351677;1763;40017834;"Amsterdam";"Amsterdam, Noord-Holland, Nederland";"52.3727598";"4.8936041"
1107282403;1763;40615294;"Ulm";"Ulm, Baden-Württemberg, Deutschland";"48.3974003";"9.9934336"
1107364396;1764;40427420;"Nürnberg";"Nürnberg, Bayern, Deutschland";"49.453872";"11.077298"
1107285151;1764;40036146;"Augsburg";"Augsburg, Bayern, Deutschland";"48.3668041";"10.8986971"
1107335582;1765;40181227;"Frankfurt (Oder)";"Frankfurt (Oder), Brandenburg, Deutschland";"52.3412273";"14.549452"
1107247470;1766;"04031541X";"Königsberg";"Калининград, городской округ Калининград, Калининградская область, Северо-Западный федеральный округ, Россия";"54.71012800000001";"20.510583800000006"
1107366453;1767;40233499;"Hannover";"Hannover, Region Hannover, Niedersachsen, Deutschland";"52.3744779";"9.738553199999998"
"110724336X";1767;40036146;"Augsburg";"Augsburg, Bayern, Deutschland";"48.3668041";"10.8986971"
1107335752;1769;40352064;"Leipzig";"Leipzig, Sachsen, Deutschland";"51.3406321";"12.3747329"
1107295807;1769;40181189;"Frankfurt am Main";"Frankfurt am Main, Hessen, Deutschland";"50.1106444";"8.682091699999999"
1107330246;1769;40216527;"Gotha";"Gotha, Landkreis Gotha, Thüringen, Deutschland";"50.9494849";"10.7014435"
1107326796;1769;"04068038X";"Zürich";"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra";"47.3744489";"8.5410422"
1107233798;1769;40103250;"Coburg";"Coburg, Bayern, 96450, Deutschland";"50.258112";"10.964463"
1107280028;1769;40489892;"Regensburg";"Regensburg, Bayern, Deutschland";"49.0195333";"12.0974869"
1107332877;1770;40057283;"Berlin";"Berlin, 10117, Deutschland";"52.5170365";"13.388859900000002"
1107354013;1770;40356833;"Liegnitz";"Legnica, gmina Kunice, powiat legnicki, województwo dolnośląskie, Polska";"51.20476890000001";"16.174675034638256"
1107322367;1770;40446603;"Paris";"Paris, Île-de-France, France métropolitaine, France";"48.8566969";"2.3514616000000004"
1107248078;1770;40096572;"Celle";"Celle, Landkreis Celle, Niedersachsen, Deutschland";"52.624056";"10.081052"
1107280044;1771;40660095;"Wien";"Wien, Österreich";"48.2083537";"16.372504199999998"
1107371767;1771;40314839;"Köln";"Köln, Nordrhein-Westfalen, Deutschland";"50.938361";"6.959974000000001"
1107370981;1771;40668320;"Wolfenbüttel";"Wolfenbüttel, Landkreis Wolfenbüttel, Niedersachsen, Deutschland";"52.1625283";"10.5348215"
1107366348;1771;40763293;"Preßburg";"Bratislava, Bratislavský kraj, Slovensko";"48.1516988";"17.1093063"
1107386039;1772;40057283;"Berlin";"Berlin, 10117, Deutschland";"52.5170365";"13.388859900000002"
1107323428;1772;40230252;"Halle (Saale)";"Halle (Saale), Sachsen-Anhalt, Deutschland";"51.4825041";"11.970545199999998"
