Name;geo;lat;lon;Anzahl;ab;bis
Friedrichroda;Friedrichroda, Landkreis Gotha, Thüringen, Deutschland;50.861175;10.5639143;5;1730;1805
Kahla (Thür);Kahla (Thür), Ölwiesenweg, Kahla, Saale-Holzland-Kreis, Thüringen, 07768, Deutschland;50.8088861;11.5891683;5;1766;1802
Kaltensundheim;Kaltensundheim, Kaltennordheim, Hohe Rhön, Landkreis Schmalkalden-Meiningen, Thüringen, Deutschland;50.59838485;10.165036360009664;9;1720;1762
Effelder;Effelder, Westerwald-Obereichsfeld, Landkreis Eichsfeld, Thüringen, 37359, Deutschland;51.2397576;10.2473621;10;1733;1838
Fambach;Fambach, Breitungen/Werra, Landkreis Schmalkalden-Meiningen, Thüringen, Deutschland;50.737725299999994;10.369838900000001;12;1572;1837
Gehren;Gehren, Ilmenau, Ilm-Kreis, Thüringen, 98694, Deutschland;50.64847460000001;11.003103900000001;15;1789;1809
Dietzhausen;Dietzhausen, Suhl, Thüringen, 98530, Deutschland;50.6021815;10.5922881;16;1674;1828
Kindelbrück;Kindelbrück, Landkreis Sömmerda, Thüringen, Deutschland;51.261882299999996;11.0882364;29;1763;1836
Georgenthal;Georgenthal, Landkreis Gotha, Thüringen, Deutschland;50.81604760000001;10.6200055152236;29;1640;1846
Floh-Seligenthal;Floh-Seligenthal, Landkreis Schmalkalden-Meiningen, Thüringen, 98593, Deutschland;50.756196200000005;10.4791996;32;1790;1830
Herpf;Herpf, Meiningen, Landkreis Schmalkalden-Meiningen, Thüringen, 98639, Deutschland;50.5766659;10.3333368;50;1830;1844
Blankenberg (Thüringen);Blankenberg, Rosenthal am Rennsteig, Saale-Orla-Kreis, Thüringen, 07366, Deutschland;50.4024983;11.716522900000001;63;1787;1857
Geraberg;Geraberg, Geratal, Ilm-Kreis, Thüringen, 99331, Deutschland;50.70493629999999;10.809083858154377;108;1710;1840
Schwallungen;Schwallungen, Wasungen-Amt Sand, Landkreis Schmalkalden-Meiningen, Thüringen, 98590, Deutschland;50.6941166;10.3572118;119;1701;1850
Leutra;Leutra, Isserstedt, Jena, Thüringen, 07751, Deutschland;50.9543862;11.5310685;170;1657;1869
Clingen;Clingen, Greußen, Kyffhäuserkreis, Thüringen, Deutschland;51.234674600000005;10.9293611;176;1664;1856
Sachsenbrunn (Thüringen);Sachsenbrunn, Eisfeld, Landkreis Hildburghausen, Thüringen, 98678, Deutschland;50.45528405;10.956847959848268;185;1715;1854
Schweina;Schweina, Bad Liebenstein, Wartburgkreis, Thüringen, 36448, Deutschland;50.825393700000006;10.3401808;201;1555;1884
Nordhausen;Nordhausen, Landkreis Nordhausen, Thüringen, 99734, Deutschland;51.505157399999995;10.7925317;219;1581;1776
Oberweimar;Oberweimar, Weimar, Thüringen, 99425, Deutschland;50.9658653;11.346518699999999;223;1546;1925
Eisfeld;Eisfeld, Landkreis Hildburghausen, Thüringen, Deutschland;50.4269984;10.908994;225;1692;1865
Eisenach;Eisenach, Wutha-Farnroda, Thüringen, 99848, Deutschland;50.9747134;10.3193565;226;1736;1865
Ilfeld;Ilfeld, Harztor, Landkreis Nordhausen, Thüringen, Deutschland;51.60673775;10.809163231699248;234;1680;1855
Weida;Weida, Greiz, Thüringen, 07570, Deutschland;50.758142600000006;12.047006300000001;352;1743;1845
Schmölln;Schmölln, Altenburger Land, Thüringen, Deutschland;50.8971549;12.3520022;361;1688;1921
Schleusingen;Schleusingen, Landkreis Hildburghausen, Thüringen, 98553, Deutschland;50.5416758;10.7669624;362;1518;1851
Lehesten (Thüringen);Lehesten, Verwaltungsgemeinschaft Dornburg-Camburg, Saale-Holzland-Kreis, Thüringen, Deutschland;50.9814166;11.5795144;373;1658;1843
Ellrich;Ellrich, Landkreis Nordhausen, Thüringen, Deutschland;51.587313;10.6649031;376;1776;1868
Ilversgehofen;Ilversgehofen, Erfurt, Thüringen, 99089, Deutschland;50.998853600000004;11.0306537;387;1510;1842
Leutenberg;Leutenberg, Landkreis Saalfeld-Rudolstadt, Thüringen, Deutschland;50.565271200000005;11.4708459;415;1742;1867
Stützerbach;Stützerbach, Ilmenau, Ilm-Kreis, Thüringen, Deutschland;50.6358451;10.862827099999999;425;1635;1842
Fockendorf;Fockendorf, Pleißenaue, Altenburger Land, Thüringen, Deutschland;51.0491456;12.4636619;497;1690;1858
Arnstadt;Arnstadt, Ilm-Kreis, Thüringen, Deutschland;50.834909700000004;10.946147900000001;674;1585;1883
Mühlhausen/Thüringen;Mühlhausen/Thüringen, Mühlhausen, Unstrut-Hainich-Kreis, Thüringen, 99974, Deutschland;51.2094255;10.458904400000002;870;1502;1852
Bad Blankenburg;Bad Blankenburg, Landkreis Saalfeld-Rudolstadt, Thüringen, 07422, Deutschland;50.6829946;11.272632699999999;1100;1597;1847
Greiz;Greiz, Thüringen, Deutschland;50.7783814;12.076353300000001;1283;1589;1900
Heilbad Heiligenstadt;Heilbad Heiligenstadt, Landkreis Eichsfeld, Thüringen, 37308, Deutschland;51.375618599999996;10.138224000000001;5411;1604;1854
