"idn","year"
1154218449,300
1154208516,470
1154208532,470
1154193160,540
1154193179,540
"115420801X",540
1154208508,540
1154193152,570
1154191702,770
1154191710,770
1154194795,800
1154191842,947
1066673969,1000
1144663989,1000
1197089942,1000
1219244198,1000
"121924709X",1000
1154194817,1041
1051068185,1153
1066956405,1250
1154194809,1298
1197091742,1300
"107265444X",1315
1152502026,1330
1051090369,1380
1154212343,1400
1061056953,1400
1066973431,1400
1076289770,1400
1084138298,1400
1193000254,1400
"119681502X",1400
1196829721,1400
1196835322,1400
"119684707X",1400
1196847614,1400
1196847932,1400
1196848637,1400
1196848831,1400
1196848890,1400
1196893721,1400
1196895856,1400
1196896194,1400
1196896771,1400
"119690278X",1400
1196903263,1400
1196903433,1400
"119690586X",1400
1196906092,1400
1196906297,1400
1196906335,1400
1196906475,1400
1196906688,1400
1196907005,1400
1196907560,1400
1196910928,1400
1196911185,1400
1197092382,1400
1066957193,1401
1077533659,1401
1077661932,1401
1154194655,1426
1154202925,1427
1196837503,1431
"119683816X",1431
1196814368,1440
1196838577,1440
1196812780,1446
1196840040,1446
"119684173X",1447
1066966540,1454
1154097366,1455
1196835551,1456
"119702610X",1457
1066966524,1458
1066967997,1459
1066970181,1460
1072654415,1460
1066966419,1462
1066972621,1463
1189183587,1465
"106478058X",1466
1064781187,1466
1064848419,1466
1066965641,1466
1066969914,1466
1142397084,1466
1142398994,1466
1142399141,1466
1193052483,1466
"106696565X",1467
1066965811,1467
1066969264,1467
"107955310X",1467
1188834428,1467
1188907514,1467
1066966427,1468
1066966923,1468
1066969531,1468
1189187140,1468
1066969159,1469
1066969930,1469
1066972443,1469
1066972710,1469
1067435948,1469
1189187590,1469
1189365987,1469
1189366657,1469
"118936736X",1469
1066965633,1470
1066965676,1470
1066966230,1470
"106696680X",1470
1066966990,1470
1066967229,1470
1066967903,1470
1066968047,1470
1066968438,1470
1066968454,1470
1066968756,1470
1066969183,1470
1066970254,1470
1066970335,1470
1066971226,1470
1066971358,1470
1066971382,1470
1066971676,1470
1066972966,1470
1072162032,1470
1072162407,1470
1079550038,1470
"107955016X",1470
1079550275,1470
1079550437,1470
1079550615,1470
1079551522,1470
1079551808,1470
1079551913,1470
1142401294,1470
1188833995,1470
1188838687,1470
1188907697,1470
"118890793X",1470
1189369893,1470
1192338693,1470
1196844321,1470
"106696470X",1470
1066969779,1470
1080338241,1470
1113034386,1470
1066964920,1471
1066965021,1471
1066965072,1471
"106696582X",1471
1066966125,1471
1066966133,1471
1066968411,1471
1066968616,1471
1066968705,1471
1066968748,1471
1066970580,1471
1066971536,1471
"106697201X",1471
1066972389,1471
1072170264,1471
1072491427,1471
1189154285,1471
1189785331,1471
1189785668,1471
"118978615X",1471
1192035380,1471
1192039955,1471
1192041372,1471
"106696467X",1472
1066964696,1472
1066964998,1472
1066965056,1472
1066965625,1472
1066966338,1472
1066966435,1472
1066966885,1472
1066967393,1472
1066967415,1472
1066968322,1472
1066968403,1472
1066968446,1472
1066968527,1472
1066968535,1472
1066968667,1472
1066968721,1472
"106696887X",1472
1066969469,1472
1066969477,1472
1066969558,1472
1066969701,1472
1066971102,1472
1066971234,1472
1066971277,1472
1066971773,1472
1066972494,1472
"106697263X",1472
1066973164,1472
1066973296,1472
1066973377,1472
1072239671,1472
1072321904,1472
1079733698,1472
1110919883,1472
1171730640,1472
"119204231X",1472
"119204312X",1472
1192048105,1472
1192051653,1472
1048169669,1473
1048306054,1473
1066965080,1473
1066965579,1473
1066965595,1473
1066965714,1473
"106696632X",1473
1066966893,1473
1066967008,1473
"106696727X",1473
1066967385,1473
1066967911,1473
1066968225,1473
1066968314,1473
1066968624,1473
1066968764,1473
1066968845,1473
1066969027,1473
1066969035,1473
1066969329,1473
1066969353,1473
"106696940X",1473
1066969868,1473
1066969949,1473
1066971420,1473
"106697196X",1473
1066973040,1473
1066973350,1473
1066973369,1473
1072064456,1473
1072097877,1473
1162446471,1473
1192053990,1473
1192056523,1473
1047569779,1474
1066964637,1474
1066964769,1474
1066965048,1474
1066965242,1474
1066965277,1474
1066965889,1474
1066966168,1474
1066966176,1474
1066966222,1474
1066966257,1474
1066966400,1474
1066966443,1474
1066966656,1474
1066966958,1474
1066967601,1474
1066967636,1474
1066968004,1474
1066968330,1474
1066968365,1474
1066968950,1474
1066969086,1474
1066969671,1474
1066969795,1474
1066969876,1474
"106697005X",1474
1066970599,1474
1066970661,1474
1066971099,1474
1066971900,1474
1066971943,1474
1066972036,1474
1066972087,1474
1066972524,1474
1066972532,1474
1066972567,1474
1066972656,1474
1066973334,1474
1067434755,1474
1072054698,1474
1072063859,1474
1077047398,1474
1077047428,1474
1084608782,1474
1109774656,1474
1188834916,1474
1192056671,1474
"106667857X",1475
1066964645,1475
1066965749,1475
"106696579X",1475
1066965870,1475
1066966281,1475
"106696646X",1475
1066966664,1475
1066966753,1475
1066967113,1475
1066967350,1475
1066967598,1475
1066967652,1475
1066967830,1475
"106696792X",1475
1066968101,1475
"106696968X",1475
1066969698,1475
1066969817,1475
"106697019X",1475
1066970610,1475
"106697067X",1475
1066970696,1475
1066970793,1475
1066971218,1475
1066972435,1475
1066972508,1475
1067300287,1475
1067300686,1475
1067300988,1475
1072053101,1475
1072098342,1475
1072106345,1475
1072255812,1475
1072267322,1475
1072378760,1475
1154288153,1475
"118883424X",1475
1192326652,1475
